date,close,pred,powell_class,position,entry_price,exit_price,pnl,return_pct
2025-06-28,106250.5588395074,1,-1,0,,106250.5588395074,-1145.8156643787224,-1.0901655146709508
2025-06-29,106765.36912963055,1,-1,0,,,,
2025-06-30,106845.87684722291,1,-1,0,,,,
2025-07-01,106543.88263541719,1,-1,0,,,,
2025-07-02,107107.9119765629,1,-1,0,,,,
2025-07-03,107717.23398242217,1,-1,0,,,,
2025-07-04,107771.77548681662,1,-1,0,,,,
2025-07-05,107867.18161511247,1,-1,0,,,,
2025-07-06,108186.83621133435,1,-1,0,,,,
2025-07-07,108191.10215850075,1,-1,0,,,,
2025-07-08,108361.60161887557,1,-1,0,,,,
2025-07-09,109071.17621415667,1,-1,0,,,,
2025-07-10,110798.1821606175,1,-1,0,,,,
2025-07-11,112473.63662046313,1,-1,0,,,,
2025-07-12,113702.55246534735,1,-1,0,,,,
2025-07-13,115036.48934901052,1,-1,0,,,,
2025-07-14,116231.49201175789,1,-1,0,,,,
2025-07-15,116608.24400881841,1,-1,0,,,,
2025-07-16,117103.85800661381,1,-1,0,,,,
2025-07-17,117622.04350496037,1,-1,0,,,,
2025-07-18,117690.63262872028,1,-1,0,,,,
2025-07-19,117721.57447154023,1,-1,0,,,,
2025-07-20,117595.18085365517,1,-1,0,,,,
2025-07-21,117528.93564024138,1,-1,0,,,,
2025-07-22,118145.12673018104,1,-1,0,,,,
2025-07-23,118287.22004763578,1,-1,0,,,,
2025-07-24,118288.99003572683,1,-1,0,,,,
2025-07-25,118112.61752679513,1,-1,0,,,,
2025-07-26,118056.76314509635,1,-1,0,,,,
2025-07-27,118398.42235882225,1,-1,0,,,,
2025-07-28,118309.16676911668,1,-1,0,,,,
2025-07-29,118206.12507683752,1,-1,0,,,,
2025-07-30,118097.34380762815,1,-1,0,,,,
2025-07-31,117497.3328557211,1,-1,0,,,,
2025-08-01,116434.19964179082,1,-1,0,,,,
2025-08-02,115452.84973134311,1,-1,0,,,,
2025-08-03,115127.33729850734,1,-1,0,,,,
2025-08-04,115096.0279738805,1,-1,0,,,,
2025-08-05,114839.42098041036,1,-1,0,,,,
2025-08-06,114864.81573530777,1,-1,0,,,,
2025-08-07,115503.58680148082,1,-1,0,,,,
2025-08-08,115784.74010111061,1,-1,0,,,,
2025-08-09,115944.08007583296,1,-1,0,,,,
2025-08-10,116771.88505687471,1,-1,0,,,,
2025-08-11,117239.38879265604,1,-1,0,,,,
2025-08-12,117949.79159449204,1,-1,0,,,,
2025-08-13,119293.31869586903,1,-1,0,,,,
2025-08-14,119030.53902190177,1,-1,0,,,,
2025-08-15,118592.70426642633,1,-1,0,,,,
2025-08-16,118276.95319981975,1,-1,0,,,,
2025-08-17,118046.1648998648,1,-1,0,,,,
2025-08-18,117580.5236748986,1,-1,0,,,,
2025-08-19,116391.44275617396,1,-1,0,,,,
2025-08-20,115848.70706713047,1,-1,0,,,,
2025-08-21,115002.08030034785,1,-1,0,,,,
2025-08-22,115475.93522526088,1,0,0,,,,
