date,close,pred,powell_class,position,entry_price,exit_price,pnl,return_pct
2025-09-22,112604.7,1,0,0,,,,
2025-09-23,111947.0,1,0,0,,,,
2025-09-24,113254.0,1,0,0,,,,
2025-09-25,108934.5,1,0,0,,,,
2025-09-26,109588.5,1,0,0,,,,
2025-09-27,109577.3,1,0,0,,,,
2025-09-28,112119.6,1,0,0,,,,
2025-09-29,114257.1,1,0,0,,,,
2025-09-30,113988.8,1,0,0,,,,
2025-10-01,118552.4,1,0,0,,,,
2025-10-02,120481.3,1,0,0,,,,
2025-10-03,122182.7,1,0,0,,,,
2025-10-04,122343.2,1,0,0,,,,
2025-10-05,123426.7,1,0,0,,,,
2025-10-06,124628.5,1,0,0,,,,
2025-10-07,121286.5,1,0,0,,,,
2025-10-08,123237.5,1,0,0,,,,
2025-10-09,121579.3,1,-1,0,,,,
2025-10-10,112714.9,1,-1,0,,,,
2025-10-11,110579.1,1,-1,0,,,,
2025-10-12,114894.4,1,-1,0,,,,
2025-10-13,115111.9,1,-1,0,,,,
2025-10-14,112983.8,1,-1,0,,,,
2025-10-15,110699.0,1,-1,0,,,,
2025-10-16,108129.4,1,-1,0,,,,
2025-10-17,106378.6,1,-1,0,,,,
2025-10-18,107117.5,1,-1,0,,,,
2025-10-19,108586.2,1,-1,0,,,,
2025-10-20,110469.9,0,-1,-1,110469.9,,,
2025-10-21,108253.7,1,-1,0,,108253.7,2216.199999999997,2.006157333355056
2025-10-22,107532.0,1,-1,0,,,,
2025-10-23,110025.9,1,-1,0,,,,
2025-10-24,110965.4,1,-1,0,,,,
2025-10-25,111589.4,1,-1,0,,,,
2025-10-26,114497.8,1,-1,0,,,,
2025-10-27,114064.1,1,-1,0,,,,
2025-10-28,112833.5,1,-1,0,,,,
2025-10-29,109985.6,1,-1,0,,,,
2025-10-30,108263.5,1,-1,0,,,,
